Srno,TranslatedRecipeName,Cuisine,Image_URL,Price
12,Saunf Aloo,Punjabi,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Madhuri_Aggarwal/Saunf_Aloo__Fennel_Potato_Curry.jpg,236
33,Baingan Bharta,Punjabi,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Vegetables_Dry/Baingan_Bharta_Sabzi_Recipe_Smoked_Roasted_Eggplant_with_Green_Chillies_and_Ginger-1.jpg,278
37,Makki And Methi Roti,Punjabi,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/pooja/Makki_and_Methi_Roti.jpg,187
108,Maa Ki Dal,Punjabi,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Monika_Manchanda/Maa_Ki_Daal_1600.jpg,268
112,Chole Masala,Punjabi,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2020/Amritsari_Chole_Masala_Recipe_Punjabi_Chole_Masala_Chana_Masala_4_1600.jpg,358
