Srno,TranslatedRecipeName,Cuisine,Image_URL,Price
3,Andhra Style Allam Pachadi,Andhra,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Andhra_Style_Allam_Pachadi_Ginger_Chutney_Recipe_.jpg,165
11,Andhra Style Ingavu Chaaru,Andhra,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Andhra_Style_Ingavu_Chaaru_Recipe_Asafetida_flavored_Tamarind_Rasam.jpg,140
40,Andhra Style Tomato Cauliflower Koora,Andhra,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Andhra_Style_Tomato_Cauliflower_Koora_.jpg,165
