Srno,TranslatedRecipeName,Cuisine,Image_URL,Price
31,Tindora Sambharo,Gujarati,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/Tindora_Sambharo_Recipe_Instant_Tendli_Pickle_-4_1600.jpg,133
38,Cabbage And Carrot Sambharo,Gujarati,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Anjana_Chaturvedi/Cabbage_and_carrot_sambharo.jpg,228
107,Crispy Masala Peanuts,Gujarati,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Roop/Crispy_Masala_Peanuts_or_Gujrati_Sing_Bhujia.jpg,310
