Srno,TranslatedRecipeName,Cuisine,Image_URL,Price
9,Baked Beans,Fusion,https://www.archanaskitchen.com/images/archanaskitchen/World_Breakfast/Homemade_baked_beans_Recipe_healthy_breakfast_shutterstock_222439996.jpg,384
19,Subway Sandwich With Beet & Sprout,Fusion,https://www.archanaskitchen.com/images/archanaskitchen/World_Sandwiches_Burgers_Wraps/Beet_and_Sprout_Vegetable_Sandwich_Recipe-1.jpg,394
54,Masala Sandwich With Rocket Leaves,Fusion,https://www.archanaskitchen.com/images/archanaskitchen/World_Breakfast/Bombay_Masala_Sandwich_with_Rocket_Leaves-1.jpg,264
