Srno,TranslatedRecipeName,Cuisine,Image_URL,Price
30,Kerala Palada Pradhaman,Kerala,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/jyothir/Kerala_Palada_Pradhaman.jpg,153
68,White Pumpkin Mor Kuzhambu,Kerala,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/vinithavijayam1990-gmail.com/Kerala_Style_Mor_Kuzhambhu___White_Pumkin_Mor_Kuzhambhu.jpg,180
84,Kerala Style Raw Banana And Suran Kootu Curry,Kerala,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2017/23-feb/Raw_banana_and_Yam_Kerala_Style_Thoran_Recipe-2.jpg,188
101,Dry Sweet Potato Thoran,Kerala,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Smitha-Kalluraya/Dry_Sweet_Potato_Thoran.jpg,169
