Srno,TranslatedRecipeName,Cuisine,Image_URL,Price
17,Garlic Amla Chutney,Tamil Nadu,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/swathynandhini/Garlic_Amla_Chutney_Recipe_-_Garlic_And_Gooseberry_Chutney.jpg,157
32,Palakottai Kuzhambu,Tamil Nadu,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/swathynandhini/Palakottai_kuzhambu_jackfruit_seeds_curry_recipe.jpg,164
35,Pacha Manga Pachadi,Tamil Nadu,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2021/Raw_Mango_Pachadi_Recipe_8_1600.jpg,272
131,Kovakkai Podi Curry,Tamil Nadu,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Nithya_Anantham/Kovakkai_Podi_Curry_Recipe_Ivy_Gourd_Stir_Fried_In_Spicy_Lentil_Mix_recipe.jpg,245
141,Kalyana Veetu Senai Curry,Tamil Nadu,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2019/_Kalyana_Veetu_Senai_Curry_Recipe_-_South_Indian_Style_Roasted_Yam__1_1600.jpg,297
