Srno,TranslatedRecipeName,Cuisine,Image_URL,Price
27,Chinese Darsaan With Ice Cream,Chinese,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/Articles/Chinese_Darsan_Recipe_Honey_Crispy_Noodles_With_Vanilla_Ice_Cream-4_1_1600.jpg,243
67,Shanghai Style Chap Nian Gao,Chinese,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Shanghai_Style_Chap_Nian_Gao_Recipes_Stir_Fried_Rice_Cakes_Recipes.jpg,399
129,Vegetable Fried Brown Rice,Chinese,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Shaheen_Ali/VEGETABLE_FRIED_BROWN_RICE.jpg,303
